#GENE	CONDITION	INHERITANCE	AGE GROUP
KCNMA1	Generalized epilepsy and paroxysmal dyskinesia	AD	N/A
KCNQ1	Long QT syndrome 1; Jervell and Lange-Nielsen syndrome 1; Short QT syndrome 2; Atrial fibrillation, familial 3	AD/AR/Digenic	Pediatric
KCNQ1OT1	Beckwith-Wiedemann syndrome	AD	Pediatric
KCNQ2	Epileptic encephalopathy, early infantile, 7; Benign familial neonatal seizures, 1; Myokymia	AD	N/A
KCNQ3	Seizures, benign neonatal, 2	AD	N/A
KCNQ4	Deafness, autosomal dominant 2A	AD	N/A
KCNT1	Epilepsy, nocturnal frontal lobe, 5; Early infantile epileptic encephalopathy 14	AD	N/A
KCNV2	Retinal cone dystrophy 3B	AR	N/A
KCTD17	Dystonia 26, Myoclonic	AD	N/A
KCTD7	Epilepsy, progressive myoclonic 3, with or without intracellular inclusions	AR	N/A
KDM5C	Mental retardation, X-linked, syndromic, Claes-Jensen type	XL	N/A
KDM6A	Kabuki syndrome 2	XL	N/A
KEL	Blood group, Kell system	BG	Pediatric
KERA	Cornea plana congenita, recessive	AR	N/A
KHDC3L	Hydatidiform mole, recurrent, 2	AR	Pediatric
KHK	Fructosuria, essential	AR	N/A
KIAA0196	Spastic paraplegia 8; Ritscher-Schinzel syndrome (3C syndrome)	AD/AR	N/A
KIAA0586	Joubert syndrome 23; Short rib thoracic dysplasia 14 with polydactyly	AR	N/A
KIAA1033	Mental retardation, autosomal recessive 43	AR	N/A
KIAA2022	Mental retardation, X-linked 98	XL	N/A
KIF11	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation, autosomal dominant	AD	N/A
KIF14	Meckel syndrome 12	AR	N/A
KIF1A	Mental retardation, autosomal dominant 9; Neuropathy, hereditary sensory, type IIC; Spastic paraplegia 30, autosomal recessive	AD/AR	N/A
KIF1B	Neuroblastoma, susceptibility to; Pheochromocytoma	AD	Pediatric
KIF1BP	Goldberg-Shprintzen megacolon syndrome	AR	N/A
KIF1C	Spastic ataxia 2, autosomal recessive	AR	N/A
KIF21A	Fibrosis of extraocular muscles, congenital 1; Fibrosis of extraocular muscles, congenital 3B	AD	N/A
KIF22	Spondyloepimetaphyseal dysplasia with joint laxity, type 2	AD	N/A
KIF2A	Cortical dysplasia, complex, with other brain malformations 3	AD	N/A
KIF4A	Mental retardation, X-linked 100	XL	N/A
KIF5A	Spastic paraplegia 10, autosomal dominant	AD	N/A
KIF5C	Cortical dysplasia, complex, with other brain malformations 2	AD	N/A
KIF7	Hydrolethalus syndrome 2; Acrocallosal syndrome; Joubert syndrome 12	AR/Digenic	N/A
KIRREL3	Mental retardation, autosomal dominant 4	AD	N/A
KISS1	Hypogonadotropic hypogonadism 13 with or without anosmia	AR	Pediatric
KISS1R	Hypogonadotropic hypogonadism 8 with or without anosmia	AR	Pediatric
KIT	Gastrointestinal stromal tumor	AD	Adult
KITLG	Hyperpigmentation with or without hypopigementation, familial progressive; Skin/hair/eye pigmentation, variation in, 7	AD	N/A
KIZ	Retinitis pigmentosa 69	AR	N/A
KL	Tumoral calcinosis, hyperphosphatemic	AR	Pediatric
KLF1	Anemia, dyserythropoietic congenital, type IV; Blood group, Lutheran inhibitor	AD/BG	Pediatric
KLF11	Maturity-onset diabetes of the young, type VII	AD	N/A
KLHDC8B	Hodgkin lymphoma	AD	Pediatric
KLHL10	Spermatogenic failure 11	AD	N/A
KLHL3	Pseudohypoaldosteronism, type IID	AD/AR	Pediatric
KLHL40	Nemaline myopathy 8	AR	N/A
KLHL41	Nemaline myopathy 9	AR	N/A
KLHL7	Retinitis pigmentosa 42	AD	N/A
KLK4	Amelogenesis imperfecta, type IIA1	AR	N/A
KLKB1	Prekallikrein deficiency	AR	N/A
KLLN	Cowden syndrome 4 	AD	Adult
KMT2A	Wiedemann-Steiner syndrome	AD	N/A
KMT2D	Kabuki syndrome 1	AD	Pediatric
KNG1	High molecular weight kininogen deficiency	AR	N/A
KPTN	Mental retardation, autosomal recessive 41	AR	N/A
KRAS	Noonan syndrome; Cardiofaciocutaneous syndrome	AD	Pediatric
KRIT1	Cerebral cavernous malformations 1	AD	Pediatric
KRT1	Keratosis palmoplantaris striata III; Ichthyosis, cyclic, with epidermolytic hyperkeratosis; Ichthyosis histrix, Curth-Macklin type; Palmoplantar keratoderma, epidermolytic; Palmoplantar keratoderma, nonepidermolytic; Epidermolytic hyperkeratosis	AD	N/A
KRT10	Erythroderma, ichthyosiform, congenital reticular; Aaru disease; Ichthyosis, cyclic, with epidermolytic hyperkeratosis; Epidermolytic hyperkeratosis; Ichthyosis with confetti	AD/AR	N/A
KRT12	Meesmann corneal dystrophy	AD	N/A
KRT13	White sponge nevus 2	AD	N/A
KRT14	Epidermolysis bullosa simplex, autosomal recessive; Naegeli-Franceschetti-Jadassohn syndrome; Dermatopathia pigmentosa reticularis; Epidermolysis bullosa simplex, Koebner type; Epidermolysis bullosa simplex, Weber-Cockayne type; Epidermolysis bullosa simplex, Dowling-Meara type; Naegeli-Franceschetti-Jadassohn syndrome	AD/AR	N/A
KRT16	Palmoplantar keratoderma, nonepidermolytic, focal; Pachyonychia congenita 1	AD	N/A
KRT17	Steatocystoma multiplex; Pachyonychia congenita 2	AD	N/A
KRT2	Ichthyosis bullosa of Siemens; Ichthyosis exfoliativa	AD	N/A
KRT3	Meesmann corneal dystrophy	AD	N/A
KRT4	White sponge nevus 1	AD	N/A
KRT5	Epidermolysis bullosa simplex with migratory circinate erythema; Epidermolysis bullosa simplex with mottled pigmentation; Dowling-Degos disease 1; Epidermolysis bullosa simplex, Koebner type; Epidermolysis bullosa simplex, Weber-Cockayne type; Epidermolysis bullosa simplex, Dowling-Meara type	AD	N/A
KRT6A	Pachyonychia congenita 3	AD	N/A
KRT6B	Pachyonychia congenita 4	AD	N/A
KRT6C	Palmoplantar keratoderma, nonepidermolytic, focal or diffuse	AD	N/A
KRT71	Hypotrichosis 13	AD	N/A
KRT74	Ectodermal dysplasia 7, hair/nail type; Hypotrichosis 3; Woolly hair, autosomal dominant	AD	N/A
KRT75	Pseudofolliculitis barbae	AD	N/A
KRT81	Monilethrix	AD	N/A
KRT83	Monilethrix	AD	N/A
KRT85	Ectodermal dysplasia 4, hair-nail type	AR	N/A
KRT86	Monilethrix	AD	N/A
KRT9	Palmoplantar keratoderma, epidermolytic; Knuckle pads	AD	N/A
KYNU	Hydroxykynureninuria	AR	N/A
L1CAM	Hydrocephalus due to congenital stenosis of aqueduct of Sylvius; Mental retardation, aphasia, shuffling gait, and adducted thumbs (MASA) syndrome; CRASH syndrome; Corpus callosum, partial agenesis of; Spastic paraplegia-1	XL	N/A
L2HGDH	L-2-hydroxyglutaric aciduria	AR	Pediatric
LAMA1	Poretti-Boltshauser syndrome	AR	N/A
LAMA2	Muscular dystrophy, congenital merosin-deficient, 1A; Schizophrenia	AD/AR	N/A
LAMA3	Laryngoonychocutaneous syndrome; Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, generalized atrophic benign 	AR	N/A
LAMA4	Cardiomyopathy, dilated, 1JJ	AD	Pediatric
LAMB1	Lissencephaly 5	AR	N/A
LAMB2	Pierson syndrome; Nephrotic syndrome, type 5, with or without ocular abnormalities	AR	N/A
LAMB3	Amelogenesis imperfecta, type IA; Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, junctional, non-Herlitz type	AD/AR	N/A
LAMC2	Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, junctional, non-Herlitz type 	AR	N/A
LAMC3	Cortical malformations, occipital	AR	N/A
LAMP2	Danon disease	XL	Pediatric
LAMTOR2	Immunodeficiency due to defect in MAPBP-interacting protein	AR	Pediatric
LARGE	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6 	AR	N/A
LARP7	Alazami syndrome	AR	N/A
LARS	Infantile liver failure syndrome 1	AR	N/A
LARS2	Perrault syndrome 4	AR	Pediatric
LBR	Hydrops-ectopic calcification-moth-eaten skeletal dysplasia; Reynolds syndrome; Pelger-Huet anomaly; Greenberg/HEM skeletal dysplasia	AD	N/A
LCA5	Leber congenital amaurosis 5	AR	N/A
LCAT	Lecithin:cholesterol acyltransferase deficiency; Fish-eye disease	AR	Pediatric
LCK	Immunodeficiency 22	AR	Pediatric
LCT	Lactase deficiency, congenital	AR	Pediatric
LDB3	Cardiomyopathy, dilated 1C, with or without ventricular noncompaction; Myopathy, myofibrillar 4	AD	Pediatric
LDHA	Glycogen storage disease XI	AR	Pediatric
LDHB	Lactate dehydrogenase B deficiency	AR	N/A
LDLR	Hypercholesterolemia, familial	AD/AR	Pediatric
LDLRAP1	Hypercholesterolemia, familial, autosomal recessive	AR	Pediatric
LEFTY2	Left-right axis malformations	AD	N/A
LEMD3	Buschke-Ollendorff syndrome; Osteopoikilosis 	AD	N/A
LEP	Leptin deficiency	AR	Pediatric
LEPR	Leptin receptor deficiency	AR	Pediatric
LFNG	Spondylocostal dysostosis, autosomal recessive 3	AR	N/A
LGI1	Epilepsy, familial temporal lobe, 1	AD	N/A
LHB	Hypogonadotropic hypogonadism 23 with or without anosmia	AR	Pediatric
LHCGR	Leydig cell hypoplasia type I; Leydig cell hypoplasia type II; Luteinizing hormone resistance, female; Precocious puberty, male	AR	Pediatric
LHFPL5	Deafness, autosomal recessive 67	AR	Pediatric
LHX3	Pituitary hormone deficiency, combined, 3	AR	Pediatric
LHX4	Pituitary hormone deficiency, combined, 4	AD	Pediatric
LIAS	Pyruvate dehydrogensae lipoic acid synthetase deficiency	AR	N/A
LIFR	Stuve-Wiedemann syndrome	AR	N/A
LIG4	LIG4 syndrome; Severe combined immunodeficiency with sensitivity to ionizing radiation	AR	Pediatric
LIM2	Cataract 19	AR	N/A
LINS1	Mental retardation, autosomal recessive 27	AR	N/A
LIPA	Cholesterol ester storage disease; Wolman disease	AR	Pediatric
LIPC	Hepatic lipase deficiency	AR	Pediatric
LIPE	Abdominal obesity-metabolic syndrome 4	AR	Pediatric
LIPH	Hypotrichosis 7	AR	N/A
LIPI	Hypertriglyceridemia, familial	AD	Pediatric
LIPN	Ichthyosis, congenital, autosomal recessive 8	AR	N/A
LIPT1	Lipoyltransferase 1 deficiency	AR	N/A
LITAF	Charcot-Marie-Tooth disease, type 1C	AD	N/A
LMAN1	Combined factor V and VIII deficiency	AR	Pediatric
LMBR1	Acheiropody; Syndactyly, type IV; Laurin-Sandrow syndrome; Triphalangeal thumb, type I; Polydactyly, preaxial type II; Triphalangeal thumb-polysyndactyly syndrome; Tibial aplasia/hypoplasia; Hypoplastic or aplastic tibia with polydactyly	AD/AR	N/A
LMBRD1	Methylmalonic aciduria and homocystinuria, cblF type	AR	Pediatric
LMF1	Combined lipase deficiency	AR	Pediatric
LMNA	Cardiomyopathy, dilated, 1A; Heart-hand syndrome, Slovenian type; Emery-Dreiffus muscular dystrophy, autosomal dominant; Emery-Dreiffus muscular dystrophy 3, autosomal recessive; Muscular dystrophy, congenital, LMNA-related; Limb-girdle muscular dystrophy type 1B; Malouf syndrome; Lipodystrophy, familial partial, 2 (Dunnigan type)	AD/AR 	Pediatric
LMNB1	Leukodystrophy, adult-onset, autosomal dominant	AD	N/A
LMNB2	Liopdystrophy, partial, acquired; Epilepsy, progressive myoclonic, 9	AD/AR	N/A
LMX1B	Nail-patella syndrome	AD	Pediatric
LONP1	Cerebral, Ocular, Dental, Auricular, and Skeletal anomalies (CODAS) syndrome	AR	N/A
LOR	Vohwinkel syndrome, variant form	AD	N/A
LOXHD1	Deafness, autosomal recessive 77	AR	N/A
LPA	Lipoprotein A deficiency, congenital	AR	N/A
LPAR6	Hypotrichosis 8	AR	N/A
LPIN1	Myoglobinuria, acute, recurrent, autosomal recessive	AR	Pediatric
LPIN2	Majeed syndrome	AR	Pediatric
LPL	Lipoprotein lipase deficiency; Combined hyperlipidemia, familial; Hyperlipoproteinemia, type I	AD/AR	Pediatric
LRAT	Leber congenital amaurosis 14; Retinitis pigmentosa, juvenile; Retinal-dystrophy, early-onset severe; Retinitis punctata albescens	AR	N/A
LRBA	Common variable immunodeficiency 8, with autoimmunity	AR	Pediatric
LRIG2	Urofacial syndrome 2	AR	Pediatric
LRIT3	Night blindness, congenital stationary (complete), 1F, autosomal recessive	AR	N/A
LRP1	Schizophrenia	AD	N/A
LRP2	Donnai-Barrow syndrome; Faciooculoacousticorenal syndrome	AR	Pediatric
LRP4	Cenani-Lenz syndactyly syndrome; Myasthenic syndrome, congenital 17; Sclerosteosis 2	AD/AR	N/A
LRP5	van Buchem disease, type 2; Osteopetrosis, autosomal dominant 1; Osteosclerosis; Hyperostosis, endosteal; Exudative vitreoretinopathy 4; Osteoporosis-pseudoglioma syndrome	AD/AR/Digenic	N/A
LRP6	Coronary artery disease, autosomal dominant 2	AD	Pediatric
LRPAP1	Myopia 23, autosomal recessive	AR	N/A
LRPPRC	Leigh syndrome, French-Canadian type	AR	N/A
LRRC6	Ciliary dyskinesia, primary 19	AR	Pediatric
LRRC8A	Agammaglobulinemia 5	AD	Pediatric
LRRK2	Parkinson disease 8; Dementia, Lewy body	AD	N/A
LRSAM1	Charcot-Marie-Tooth disease, axonal, type 2P	AR	N/A
LRTOMT	Deafness, autosomal recessive 63	AR	Pediatric
LSS	Cataract 44	AR	Pediatric
LTBP2	Glaucoma 3, primary congenital, D; Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma; Weill-Marchesani syndrome 3	AR	Pediatric
LTBP3	Dental anomalies and short stature	AR	N/A
LTBP4	Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities	AR	N/A
LTC4S	Asthma, aspirin-induced, susceptibility to	AR	Pediatric
LYRM4	Combined oxidative phosphorylation deficiency 19	AR	N/A
LYRM7	Mitochondrial complex III deficiency, nuclear type 8	AR	N/A
LYST	Chediak-Higashi syndrome	AR	Pediatric
LYZ	Amyloidosis, systemic nonneuropathic	AD	N/A
LZTFL1	Bardet-Biedl syndrome 17	AR	N/A
LZTR1	Schwannomatosis 2; Noonan syndrome 10	AD	Pediatric (Noonan syndrome 10); Adult (Schwannomatosis 2)
MAB21L2	Microphthalmia, syndromic 14	AR	N/A
MAF	Ayme-Gripp syndrome	AD	Pediatric
MAFB	Multicentric carpotarsal osteolysis	AD	N/A
MAGEL2	Schaaf-Yang syndrome (Prader-Willi-like syndrome)	AD	Pediatric
MAGT1	Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia	XL	Pediatric
MAK	Retinitis pigmentosa 62	AR	N/A
MALT1	Immunodeficiency 12	AR	Pediatric
MAMLD1	Hypospadias 2, X-linked	XL	N/A
MAN1B1	Mental retardation, autosomal recessive 15	AR	N/A
MAN2B1	Mannosidosis, alpha B, lysosomal	AR	Pediatric
MANBA	Mannosidosis, beta A, lysosomal	AR	N/A
MAOA	Brunner syndrome	XL	N/A
MAP2K1	Cardiofaciocutaneous syndrome	AD	Pediatric
MAP2K2	Cardiofaciocutaneous syndrome	AD	Pediatric
MAP3K1	46,XY sex reversal 6	AD	Pediatric
MAP3K14	Primary immunodeficiency with multifaceted aberrant lymphoid immunity	AR	Pediatric
MAP3K6	Familial gastric cancer	AD	Adult
MAPK10	Epileptic encephalopathy, Lennox-Gastaut type	AD	N/A
MAPK8IP1	Diabetes mellitus	AD	N/A
MAPT	Supranuclear palsy, progressive; Frontotemporal dementia; Parkinson-dementia sydnrome; Pick disease	AD/AR	N/A
MARS	Interstitial lung and liver disease	AR	Pediatric
MARS2	Combined oxidative phosphorylation deficiency 25	AR	N/A
MARVELD2	Deafness, autosomal recessive 49	AR	Pediatric
MASP1	3MC syndrome 1	AR	Pediatric
MASP2	MASP2 deficiency	AR	Pediatric
MASTL	Thrombocytopenia 2	AD	Pediatric
MAT1A	Methionine adenosyltransferase deficiency	AD/AR	Pediatric
MATN3	Spondyloepimetaphyseal dysplasia, matrilin-3 related; Epiphyseal dysplasia, multiple, 5	AD/AR	N/A
MATR3	Amyotrophic lateral sclerosis 21	AD	N/A
MAX	Pheochromocytoma	AD	Pediatric
MBD5	Mental retardation, autosomal dominant 1	AD	N/A
MBL2	Mannose-binding protein deficiency	AD	Pediatric
MBTPS2	Keratosis follicularis spinulosa decalvans, X-linked; IFAP syndrome with or without BRESHECK syndrome; Palmoplantar keratoderma, mutilating, with periorificial keratotic plaques, X-linked	XL	N/A
MC1R	Increased analgesia from kappa-opioid receptor agonist, female specific	AD	Pediatric
MC2R	Glucocorticoid deficiency 1	AR	Pediatric
MC4R	Obesity, autosomal dominant	AD	N/A
MCCC1	3-Methylcrotonyl-CoA carboxylase 1 deficiency	AR	Pediatric
MCCC2	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	Pediatric
MCEE	Methylmalonyl-CoA epimerase deficiency	AR	N/A
MCFD2	Factor V & Factor VIII, combined deficiency of	AR	Pediatric
MCM10	Premature ovarian failure 10	AR	Pediatric
MCM6	Lactose intolerance, adult type; Lactase persistence	AD	N/A
MCM8	Premature ovarian failure 10	AR	Pediatric
MCM9	Ovarian dysgenesis 4	AR	Pediatric
MCOLN1	Mucolipidosis IV	AR	N/A
MCPH1	Microcephaly, primary autosomal recessive, 1	AR	N/A
MECP2	Rett syndrome; Encephalopathy, neonatal severe, due to MECP2 mutations; Autism, X-linked 3; Mental retardation, X-lnked syndromic 13; Angelman-like syndrome; Mental retardation, X-linked 79	XL	N/A
MED12	Lujan-Fryns syndrome; Opitz-Kaveggia syndrome; Mental retardation, X-linked, with Marfanoid habitus; FG syndrome; Ohdo syndrome	XL	N/A
MED13L	Transposition of the great arteries, dextro-looped 1; Congenital heart defects and intellectual disability; Intellectual disability, autosomal recessive	AD/AR	N/A
MED17	Microcephaly, postnatal progressive, with seizures and brain atrophy	AR	N/A
MED23	Mental retardation, autosomal recessive 18	AR	N/A
MED25	Basel-Vanagait-Smirin-Yosef syndrome; Charcot-Marie-Tooth disease, axonal, tybe 2B2	AR	N/A
MEF2C	Mental retardation, autosomal dominant 20	AD	N/A
MEFV	Familial Mediterranean fever	AD/AR	Pediatric
MEGF10	Myopathy, early-onset, areflexia, respiratory distress, and dysphagia	AR	N/A
MEGF8	Carpenter syndrome 2	AR	N/A
MEN1	Multiple endocrine neoplasia type I; Hyperparathyroidism, familial primary	AD	Adult
MEOX1	Klippel-Feil syndrome 2	AR	N/A
MERTK	Retinitis pigmentosa 38	AD/AR	N/A
MESP2	Spondylocostal dysostosis 2, autosomal recessive	AR	N/A
MET	Renal cell carcinoma, papillary	AD	Adult
METTL23	Mental retardation, autosomal recessive 44	AR	N/A
MFAP5	Aortic aneurysm, familial thoracic 9	AD	Pediatric
MFN2	Charcot-Marie-Tooth disease, type 2A2; Hereditary motor and sensory neuropathy VIA	AD/AR	N/A
MFRP	Microphthalmia, isolated 5; Nanophthalmos 2; Retinitis pigmentosa, autosomal recessive	AR	N/A
MFSD2A	Microcephaly 15, primary, autosomal recessive	AR	N/A
MFSD8	Ceroid lipofuscinosis, neuronal, 7	AR	N/A
MGAT2	Congenital disorder of glycosylation, type IIa	AR	Pediatric
MGME1	Mitochondrial DNA depletion syndrome 11	AR	Pediatric
MGP	Keutel syndrome	AR	N/A
MIB1	Left ventricular noncompaction 7	AD	Pediatric
MICU1	Myopathy with extrapyramidal signs	AR	N/A
MID1	Opitz GBBB syndrome, type I	XL	N/A
MID2	Mental retardation, X-linked 101	XL	N/A
MIP	Cataract 15, multiple types	AD	N/A
MIR17HG	Feingold syndrome 2	AD	N/A
MIR184	Keratoconus with cataract	AD	N/A
MIR96	Deafness, autosomal dominant 50	AD	Pediatric
MITF	Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome; Melanoma, cutaneous malignant, susceptibility to, 8; Renal cell carcinoma with or without malignant melanoma	AD	Pediatric (Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome); Adult (Melanoma, cutaneous malignant, susceptibility to, 8; Renal cell carcinoma with or without malignant melanoma)
MKKS	McKusick-Kaufman syndrome; Bardet-Biedl syndrome 6	AR 	N/A
MKRN3	Central precocious puberty	AD	N/A
MKS1	Meckel syndrome 1; Bardet-Biedl syndrome 13	AR 	N/A
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	N/A
MLH1	Colorectal cancer, hereditary nonpolyposis, type 2; Mismatch repair cancer syndrome; Endometrial cancer; Muir-Torre syndrome	AD/AR	Adult (Colorectal cancer, hereditary nonpolyposis, type 2; Endometrial cancer; Muir-Torre syndrome)/Pediatric (Mismatch repair cancer syndrome)
MLH3	Colorectal cancer, hereditary nonpolyposis type 7; Endometrial carcinoma	AD	Adult
MLPH	Griscelli syndrome, type 3	AR	N/A
MLYCD	Malonyl-CoA decarboxylase deficiency	AR	Pediatric
MMAA	Methylmalonic acidemia, cblA type	AR	Pediatric
MMAB	Methylmalonic acidemia, cblB type	AR	Pediatric
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type	AR	Pediatric
MMADHC	Methylmalonic aciduria and homocystinuria, cblD type	AR	Pediatric
MMP13	Metaphyseal anadysplasia 1; Metaphyseal dysplasia, Spahr type; Spondyloepimetaphyseal dysplasia, Missouri type	AD/AR	N/A
MMP14	Winchester syndrome	AR	N/A
MMP19	Cavitary optic disc anomalies	AD	N/A
MMP2	Torg-Winchester syndrome; Multicentric osteolysis, nodulosis, and arthropathy	AR	N/A
MMP20	Amelogenesis imperfecta, hypomaturation type, IIA2	AR	N/A
MMP9	Metaphyseal anadysplasia 2	AR	N/A
MN1	Meningioma, familial	AD	Pediatric
MNX1	Currarino syndrome	AD	Pediatric
MOCS1	Molybdenum cofactor deficiency, type A	AR	Pediatric
MOCS2	Molybdenum cofactor deficiency, type B	AR	N/A
MOG	Narcolepsy 7	AD	N/A
MOGS	Congenital disorder of glycosylation, type IIb	AR	Pediatric
MPC1	Mitochondrial pyruvate carrier deficiency	AR	N/A
MPDU1	Congenital disorder of glycosylation, type If	AR	Pediatric
MPDZ	Hydrocephalus, nonsyndromic, autosomal recessive 2	AR	N/A
MPI	Congenital disorder of glycosylation, type Ib 	AR	Pediatric
MPL	Thrombocythemia 2; Amegakaryocytic thrombocytopenia	AD/AR	Pediatric
MPLKIP	Trichothiodystrophy 4, nonphotosensitive	AR	N/A
MPO	Myeloperoxidase deficiency	AR	Pediatric
MPV17	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR	Pediatric
MPZ	Charcot-Marie-Tooth disease, dominant intermediate 3; Charcot-Marie-Tooth disease, axonal, type 2J; Charcot-Marie-Tooth disease, axonal, type 2I; Neuropathy, congenital hypomyelinating; Roussy-Levy syndrome; Dejerine-Sottas disease; Charcot-Marie-Tooth disease, type 1B 	AD	N/A
MR1	Paroxysmal nonkinesigenic dyskinesia	AD	N/A
MRAP	Glucocorticoid deficiency 2	AR	Pediatric
MRE11A	Breast cancer, susceptibility to	AD	Adult
MRPL3	Combined oxidative phosphorylation deficiency 9	AR	N/A
MRPL44	Mitochondrial cardiomyopathy, autosomal recessive	AR	Pediatric
MRPS16	Combined oxidative phosphorylation deficiency 2	AR	N/A
MRPS22	Combined oxidative phosphorylation deficiency 5	AR	N/A
MS4A1	Immunodeficiency, common variable, 5	AR	Pediatric
MSH2	Colorectal cancer, hereditary nonpolyposis, type 1; Endometrial cancer; Mismatch repair cancer syndrome; Muir-Torre syndrome	AD/AR	Adult (Colorectal cancer, hereditary nonpolyposis, type 1; Endometrial cancer; Muir-Torre syndrome)/Pediatric (Mismatch repair cancer syndrome)
MSH3	Endometrial carcinoma	AD	Adult
MSH6	Colorectal cancer, hereditary nonpolyposis type 5; Mismatch repair cancer syndrome; Endometrial cancer	AD/AR	Adult (Colorectal cancer, hereditary nonpolyposis type 5; Endometrial cancer)/Pediatric (Mismatch repair cancer syndrome)
MSR1	Barrett esophagus/esophageal adenocarcinoma; Prostate cancer	AD	Adult
MSRB3	Deafness, autosomal recessive 74	AR	Pediatric
MSTN	Muscle hypertrophy	AR	N/A
MSX1	Orofacial cleft 5; Tooth agenesis, selective, 1, with/without orofacial cleft; Witkop syndrome	AD	N/A
MSX2	Craniosynostosis, type 2; Parietal foramina with cleidocranial dysplasia; Parietal foramina	AD	N/A
MT-ATP6	Myopathy, lactic acidosis, and sideroblastic anemia 3	Maternal	N/A
MT-ATP8	Brain pseudoatrophy, reversible, valproate-induced, susceptibility to	Maternal	Pediatric
MT-CO1	Deafness, mitochondrial	Maternal	Pediatric
MT-CO2	Cytochrome c oxidase deficiency	Maternal	N/A
MT-CO3	Myoglobinuria, recurrent	Maternal	N/A
MT-ND1	Deafness, mitochondrial	Maternal	Pediatric
MT-ND2	Leber hereditary optic neuropathy; Mitochondrial complex I deficiency	Maternal	N/A
MT-ND3	Leber optic atrophy and dystonia; Mitochondrial complex I deficiency	Maternal	N/A
MT-ND4	Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency	Maternal	N/A
MT-ND4L	Leber hereditary optic neuropathy	Maternal	N/A
MT-ND5	Myoclonic epilepsy with ragged red fibers; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Leber hereditary optic neuropathy; Mitochondrial complex I deficiency	Maternal	N/A
MT-ND6	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Oncocytoma; Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency	Maternal	N/A
MT-RNR1	Deafness, mitochondrial	Maternal	Pediatric
MT-RNR2	Chloramphenicol toxicity/resistance	Maternal	Pediatric
MT-TC	Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes	Maternal	N/A
MT-TE	Diabetes-deafness syndrome; Mitochondrial myopathy, infantile, transient; Mitochondrial myopathy with diabetes	Maternal	N/A
MT-TF	Myoclonic epilepsy with ragged red fibers; Nephropathy, tubulointerstitial; Encephalopathy, mitochondrial; Epilepsy, mitochondrial; Myopathy, mitochondrial; Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes	Maternal	N/A
MT-TL1	Brain pseudoatrophy, reversible, valproate-induced, susceptibility to	Maternal	Pediatric
MT-TS1	Deafness	Maternal	Pediatric
MTAP	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	AD	Pediatric
MTFMT	Combined oxidative phosphorylation deficiency 15	AR	Pediatric
MTHFD1	Severe combined immunodeficiency	AR	Pediatric
MTHFR	Homocystinuria due to MTHFR deficiency	AR	Pediatric
MTM1	Myopathy, centronuclear, X-linked	XL	Pediatric
MTMR2	Charcot-Marie-Tooth disease, type 4B1	AR	N/A
MTO1	Combined oxidative phosphorylation deficiency 10	AR	Pediatric
MTOR	Smith-Kingsmore syndrome	AD	N/A
MTPAP	Spastic ataxia 4, autosomal recessive	AR	N/A
MTR	Methylmalonic acidemia, cblG type	AR	Pediatric
MTRR	Homocystinuria-megaloblastic anemia, cobalamin E type	AR	Pediatric
MTTP	Abetalipoproteinemia	AR	Pediatric
MUSK	Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency	AR	Pediatric
MUT	Methylmalonic acidemia due to methylmalonyl-CoA mutase deficiency	AR	Pediatric
MUTYH	Familial adenomatous polyposis, 2; Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas 	AR	Adult
MVD	Porokeratosis 7	AD	N/A
MVK	Mevalonic aciduria; Hyper-IgD syndrome	AR	Pediatric
MYBPC1	Arthrogryposis, distal, type 1B; Lethal congenital contractural syndrome 4	AD/AR	N/A
MYBPC3	Cardiomyopathy, familial hypertrophic, 4; Cardiomyopathy, dilated, 1MM; Left ventricular noncompaction 10	AD/AR	Pediatric
MYCN	Feingold syndrome	AD	N/A
MYD88	MYD88 deficiency	AR	Pediatric
MYF6	Myopathy, centronuclear, 3	AD	N/A
